"REPORTING_PERIOD_START","REPORTING_PERIOD_END","ORG_CODE","ORG_NAME","ORG_LEVEL","DIMENSION","COUNT_OF","MEASURE","MEASURE_DESC","MEASURE_2","MEASURE_2_DESC","MEASURE_VALUE","MEASURE_VALUE_0_18","MEASURE_VALUE_19_64","MEASURE_VALUE_65_PLUS"
"2025-10-01","2025-10-31","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","AgeYr_Referral_ReceivedDate_Gender_Referrals","Referrals","55 to 59","","2","Female",300,0,300,0
"2025-10-01","2025-10-31","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","AgeYr_Referral_ReceivedDate_Gender_Referrals","Referrals","60 to 64","","1","Male",240,0,240,0
"2025-10-01","2025-10-31","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","AgeYr_Referral_ReceivedDate_Gender_Referrals","Referrals","60 to 64","","2","Female",295,0,295,0
"2025-10-01","2025-10-31","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","AgeYr_Referral_ReceivedDate_Gender_Referrals","Referrals","65 to 69","","1","Male",330,0,0,330
"2025-10-01","2025-10-31","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","AgeYr_Referral_ReceivedDate_Gender_Referrals","Referrals","65 to 69","","2","Female",295,0,0,295
"2025-10-01","2025-10-31","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","AgeYr_Referral_ReceivedDate_Gender_Referrals","Referrals","70 to 74","","1","Male",265,0,0,265
"2025-10-01","2025-10-31","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","AgeYr_Referral_ReceivedDate_Gender_Referrals","Referrals","70 to 74","","2","Female",365,0,0,365
"2025-10-01","2025-10-31","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","AgeYr_Referral_ReceivedDate_Gender_Referrals","Referrals","75 to 79","","1","Male",470,0,0,470
"2025-10-01","2025-10-31","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","AgeYr_Referral_ReceivedDate_Gender_Referrals","Referrals","75 to 79","","2","Female",490,0,0,490
"2025-10-01","2025-10-31","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","AgeYr_Referral_ReceivedDate_Gender_Referrals","Referrals","80 to 84","","1","Male",460,0,0,460
"2025-10-01","2025-10-31","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","AgeYr_Referral_ReceivedDate_Gender_Referrals","Referrals","80 to 84","","2","Female",475,0,0,475
"2025-10-01","2025-10-31","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","AgeYr_Referral_ReceivedDate_Gender_Referrals","Referrals","85 to 89","","1","Male",390,0,0,390
