"Reporting_Period","Status","Reporting_Level","Provider_Code","Provider_Name","DQ_Measure","DQ_Measure_Name","DQ_Result","DQ_Dataset_Metric_ID","Unit","Value"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM11","Care Professional Service or Team Type Association (Mental Health)","Other","3.11.2","Percentage","0"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM37","Activity location type code","Missing","3.37.5","Percentage","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM69","Admission Source (Mental Health Provider Spell)","Missing","3.69.5","Percentage","100"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM38","Clinically ready for discharge delay reason","Valid","3.38.1","Percentage","87"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM67","Decided to Admit Date","Valid","3.67.1","Percentage","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM31","Mental Health Admitted Patient Classification Type","Valid","3.31.1","Percentage","100"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM20","Clinical Response Priority Type","Valid","3.20.1","Count","210"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DIM08","Indirect activity time (Hour)","Integrity","7.8","Count","625"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM71","Start Time (Restrictive Intervention Incident)","Missing","3.71.5","Count","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DIM14","Service discharge time (Hour)","Integrity","7.14","Percentage","12"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM52","Estimated discharge date","Valid","3.52.1","Percentage","100"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM64","Accommodation Type","Valid","3.64.1","Percentage","98"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM72","Restrictive Intervention Reason","Valid","3.72.1","Percentage","100"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM81","Gender Identity Code","Default","3.81.3","Percentage","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM70","Destination Of Discharge (Hospital Provider Spell)","Default","3.70.3","Count","*"
"Apr-26","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS-DQM10","Primary Reason for Referral (Mental Health)","Invalid","3.10.4","Count","*"
