Organisation_Code,Sector,Number_Of_Beds,Effective_Snapshot_Date
RYV,Maternity,0,30/06/2012
NDA,Maternity,0,30/06/2012
RQQ,Maternity,37,30/06/2012
RQW,Maternity,37.296703,30/06/2012
RRD,Maternity,0,30/06/2012
RT1,Maternity,0,30/06/2012
RWG,Maternity,59.384615,30/06/2012
RWH,Maternity,50,30/06/2012
RGQ,Maternity,34,30/06/2012
RGR,Maternity,41,30/06/2012
RGT,Maternity,42,30/06/2012
RM1,Maternity,48.043956,30/06/2012
RMY,Maternity,0,30/06/2012
RQ8,Maternity,55,30/06/2012
RCX,Maternity,21,30/06/2012
RDD,Maternity,53,30/06/2012
RDE,Maternity,48,30/06/2012
RGM,Maternity,0,30/06/2012
RGN,Maternity,67,30/06/2012
RGP,Maternity,42,30/06/2012
RYW,Maternity,0,30/06/2012
TAJ,Maternity,0,30/06/2012
5PT,Maternity,0,30/06/2012
RAJ,Maternity,25,30/06/2012
RC1,Maternity,24,30/06/2012
RC9,Maternity,83,30/06/2012
RWP,Maternity,107,30/06/2012
RXK,Maternity,37.153846,30/06/2012
RXT,Maternity,0,30/06/2012
RXW,Maternity,58.351648,30/06/2012
RYG,Maternity,0,30/06/2012
RYK,Maternity,0,30/06/2012
RNA,Maternity,46.505495,30/06/2012
RQ3,Maternity,0,30/06/2012
RR1,Maternity,104.142857,30/06/2012
RRE,Maternity,0,30/06/2012
RRJ,Maternity,0,30/06/2012
RRK,Maternity,0,30/06/2012
RL1,Maternity,0,30/06/2012
RL4,Maternity,44,30/06/2012
RLQ,Maternity,21,30/06/2012
RLT,Maternity,16.263736,30/06/2012
RLU,Maternity,105,30/06/2012
RLY,Maternity,0,30/06/2012
RBK,Maternity,32.461538,30/06/2012
RJC,Maternity,40,30/06/2012
RJD,Maternity,36.835165,30/06/2012
RJE,Maternity,56,30/06/2012
RJF,Maternity,44,30/06/2012
RKB,Maternity,70.813187,30/06/2012
RX1,Maternity,119,30/06/2012
RXM,Maternity,0,30/06/2012
RY5,Maternity,0,30/06/2012
RY8,Maternity,0,30/06/2012
R1A,Maternity,0,30/06/2012
R1E,Maternity,0,30/06/2012
RP1,Maternity,0,30/06/2012
RP7,Maternity,0,30/06/2012
RT5,Maternity,0,30/06/2012
RTG,Maternity,62,30/06/2012
RWD,Maternity,103.703297,30/06/2012
RWE,Maternity,141,30/06/2012
TAH,Maternity,0,30/06/2012
RFS,Maternity,38.208791,30/06/2012
RHA,Maternity,0,30/06/2012
RDZ,General & Acute,485.076087,30/09/2020
REF,General & Acute,703.543478,30/09/2020
RH5,General & Acute,746.51087,30/09/2020
TAF,General & Acute,0,30/09/2020
RA4,General & Acute,298.543478,30/09/2020
RA7,General & Acute,913.163043,30/09/2020
RA9,General & Acute,329.73913,30/09/2020
RBD,General & Acute,254.978261,30/09/2020
RBZ,General & Acute,279.163043,30/09/2020
RT3,General & Acute,194.858696,30/09/2020
RV3,General & Acute,75.054348,30/09/2020
RVR,General & Acute,691.347826,30/09/2020
RWK,General & Acute,51,30/09/2020
RYJ,General & Acute,1010.934783,30/09/2020
RYX,General & Acute,0,30/09/2020
RPY,General & Acute,190.706522,30/09/2020
RQM,General & Acute,758.76087,30/09/2020
RQX,General & Acute,267.119565,30/09/2020
RQY,General & Acute,0,30/09/2020
RRP,General & Acute,0,30/09/2020
RRV,General & Acute,679.434783,30/09/2020
RJ7,General & Acute,869,30/09/2020
